sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
657,"Cooking Essentials","Dhara Filtered Groundnut Oil (Jar)",1050.00,0.00,2,1050.00,5000,0,5
658,"Cooking Essentials","24 Mantra Sona Masuri Brown Rice",475.00,10.00,6,423.00,5000,0,5
659,"Cooking Essentials","24 Mantra Organic Pancharatna Dal - Split",130.00,7.00,6,120.00,500,0,500
660,"Cooking Essentials","24 Mantra Organic Cumin Powder",70.00,0.00,6,70.00,100,0,100
661,"Cooking Essentials","Popular Essentials Samba Broken Wheat",100.00,11.00,6,89.00,500,0,500
662,"Cooking Essentials","Betty Crocker Chocolate Fudge Cake Mix",295.00,0.00,6,295.00,475,0,475
663,"Cooking Essentials","Borges Extra Light Olive Oil Bottle ",2600.00,46.00,6,1399.00,2000,0,2
664,"Cooking Essentials","Flying Bird Premium Orange Artificial Food Essence",60.00,0.00,6,60.00,20,0,20
665,"Cooking Essentials","Popular Essentials Red Cherry/Gundu Chilli",95.00,0.00,6,95.00,100,0,100
666,"Cooking Essentials","Super Saver Kolam Rice Sortex Clean ",700.00,10.00,3,630.00,5000,0,5
667,"Cooking Essentials","Flying Bird Food Essence - Kewra",50.00,0.00,6,50.00,20,0,20
668,"Cooking Essentials","MTR Vada Breakfast",200.00,0.00,1,200.00,500,0,500
669,"Cooking Essentials","On1y Pasta Seasoning",99.00,0.00,6,99.00,30,0,30
670,"Cooking Essentials","Praakritik Organic Indrayani Rice",70.00,0.00,6,70.00,500,0,500
671,"Cooking Essentials","On1y Pizza Seasoning",99.00,0.00,6,99.00,28,0,28
672,"Cooking Essentials","Kitchens of India Mutter Paneer Mix",120.00,30.00,4,84.00,285,0,285
673,"Cooking Essentials","Aashirvaad Svasti Cow Ghee Tetra Pack",295.00,0.00,6,295.00,500,0,500
674,"Cooking Essentials","Weikfield Cooker Cake Mix - Vanilla",95.00,0.00,6,95.00,150,0,150
675,"Cooking Essentials","Praakritik Organic Kapli Wheat Atta",165.00,10.00,6,147.00,1000,0,1
676,"Cooking Essentials","Epicurea Sushi Rice",295.00,0.00,6,295.00,500,0,500
677,"Cooking Essentials","Sugarfree Natural Green Stevia Leaves Zero Calorie",75.00,0.00,2,75.00,100,0,100
678,"Cooking Essentials","Smith & Jones Italian Spices Masala Mix",99.00,0.00,6,99.00,75,0,75
679,"Cooking Essentials","Satyam Nighties Spices  Chilli Bore",89.00,10.00,6,80.00,100,0,100
680,"Cooking Essentials","Weikfield Veg Jelly Crystals - Orange",45.00,2.00,6,44.00,90,0,90
681,"Cooking Essentials","Praakritik Organic Jumbo Rolled Oats",190.00,11.00,6,169.00,500,0,500
682,"Cooking Essentials","On1y Sea Salt Grinder",89.00,0.00,6,89.00,100,0,100
683,"Cooking Essentials","Delight Nuts Berries Mix ",399.00,20.00,6,319.00,200,0,200
684,"Cooking Essentials","Everest Kesari Milk Masala",205.00,0.00,6,205.00,50,0,20
685,"Cooking Essentials","Praakritik Organic Ginger Powder",139.00,10.00,6,125.00,100,0,100
686,"Cooking Essentials","Suhana Mutton Gravy Mix",45.00,0.00,4,45.00,80,0,80
687,"Cooking Essentials","On1y Salad Seasoning Grinder",139.00,0.00,6,139.00,45,0,45
688,"Cooking Essentials","Figaro Pure Olive Oil",325.00,8.00,1,299.00,200,0,200
689,"Cooking Essentials","Madhur Sugar",60.00,6.00,0,56.00,1000,1,1
690,"Cooking Essentials","Amul Fresh Cream",63.00,0.00,0,63.00,250,1,250
691,"Cooking Essentials","Madhur Pure And Hygienic Sugar",295.00,9.00,0,266.00,5000,1,5
692,"Cooking Essentials","Satyam Poha Jada",35.00,8.00,0,32.00,500,1,500
693,"Cooking Essentials","Aashirvaad Superior MP Whole Wheat Atta",53.00,1.00,0,52.00,1000,1,1
694,"Cooking Essentials","Fortune Soyabean Oil",210.00,13.00,0,181.00,1000,1,1
